student_id,student_name,email,class,attendance,assignment_score,quiz_score,midterm_score,previous_result,study_hours_per_day,extracurricular_activities,final_score,grade,risk_level,timestamp
STU0046,Student_46,student46@school.edu,12B,77.6,49.22,35.42,50.0,51.3,2.6,4,45.48,F,High,2026-01-10T16:37:39.295581
STU0047,Student_47,student47@school.edu,10A,82.39,34.5,58.53,67.98,59.95,1.7,3,57.22,D,Medium,2025-10-22T16:37:39.295581
STU0048,Student_48,student48@school.edu,9A,91.4,83.59,56.63,30.41,56.11,6.0,3,62.01,C,Medium,2025-11-15T16:37:39.295581
STU0049,Student_49,student49@school.edu,10B,69.29,49.11,63.99,57.22,75.13,6.4,5,59.97,D,Medium,2026-03-17T16:37:39.295581
STU0050,Student_50,student50@school.edu,9A,94.42,71.43,76.41,35.88,60.72,6.9,1,58.78,D,Medium,2026-01-11T16:37:39.295581
STU0051,Student_51,student51@school.edu,11B,52.7,52.88,83.29,56.54,80.12,6.7,2,66.89,C,Medium,2025-12-19T16:37:39.295581
STU0052,Student_52,student52@school.edu,9A,84.94,33.65,96.63,45.7,39.12,7.7,0,55.38,D,Medium,2026-02-26T16:37:39.295581
STU0053,Student_53,student53@school.edu,9A,77.28,46.7,63.15,38.01,91.87,3.7,2,62.48,C,Medium,2026-03-07T16:37:39.295581
STU0054,Student_54,student54@school.edu,9B,86.67,41.46,51.77,70.51,90.73,4.6,3,68.42,C,Medium,2026-03-30T16:37:39.295581
STU0055,Student_55,student55@school.edu,10B,46.11,84.07,89.52,72.03,42.26,7.9,0,62.39,C,Medium,2026-01-14T16:37:39.295581
STU0056,Student_56,student56@school.edu,9B,70.36,53.89,89.47,87.56,41.33,7.7,5,72.13,B,Low,2026-03-10T16:37:39.295581
STU0057,Student_57,student57@school.edu,12A,50.57,66.52,75.53,73.11,90.18,6.2,3,72.91,B,Low,2026-02-09T16:37:39.295581
STU0058,Student_58,student58@school.edu,11B,91.1,88.15,36.07,91.71,49.63,3.7,4,72.56,B,Low,2025-12-13T16:37:39.295581
STU0059,Student_59,student59@school.edu,11B,50.91,44.85,85.85,53.82,87.82,5.6,2,63.13,C,Medium,2025-12-07T16:37:39.295581
STU0060,Student_60,student60@school.edu,10B,45.14,80.41,64.2,83.07,76.44,5.2,3,70.21,B,Low,2026-02-02T16:37:39.295581
STU0061,Student_61,student61@school.edu,10B,64.26,47.03,76.48,55.83,68.21,2.8,5,59.89,D,Medium,2025-12-23T16:37:39.295581
STU0062,Student_62,student62@school.edu,11A,58.4,46.14,80.49,52.09,79.57,7.6,5,60.32,C,Medium,2025-12-16T16:37:39.295581
STU0063,Student_63,student63@school.edu,11A,83.48,98.36,66.72,49.81,41.03,1.6,1,59.25,D,Medium,2026-01-31T16:37:39.295581
STU0064,Student_64,student64@school.edu,9A,82.48,38.86,33.19,33.82,52.53,7.6,5,51.83,D,Medium,2026-04-15T16:37:39.295581
STU0065,Student_65,student65@school.edu,11A,68.16,60.83,42.91,33.6,91.46,3.8,0,55.79,D,Medium,2025-11-08T16:37:39.295581
STU0066,Student_66,student66@school.edu,9A,49.1,86.78,96.44,35.96,49.89,4.5,3,61.26,C,Medium,2026-02-20T16:37:39.295581
STU0067,Student_67,student67@school.edu,12A,67.03,60.99,90.21,99.3,53.32,5.0,4,77.31,B,Low,2026-02-24T16:37:39.295581
STU0068,Student_68,student68@school.edu,10B,55.88,35.68,46.79,68.64,44.39,3.3,5,49.64,F,High,2026-02-18T16:37:39.295581
STU0069,Student_69,student69@school.edu,11A,82.42,79.21,61.78,78.12,90.43,6.3,5,81.76,A,Low,2026-02-27T16:37:39.295581
STU0070,Student_70,student70@school.edu,12A,46.89,45.74,40.43,48.59,43.53,0.5,2,40.65,F,High,2025-11-24T16:37:39.295581
STU0071,Student_71,student71@school.edu,11A,66.35,62.81,51.29,58.18,51.33,4.3,3,51.6,D,Medium,2025-12-29T16:37:39.295581
STU0072,Student_72,student72@school.edu,11B,76.22,31.81,46.02,77.2,86.63,4.7,0,66.85,C,Medium,2026-02-09T16:37:39.295581
STU0073,Student_73,student73@school.edu,9A,85.79,42.26,66.33,60.96,51.69,8.0,3,62.53,C,Medium,2026-03-26T16:37:39.295581
STU0074,Student_74,student74@school.edu,12B,60.88,53.33,76.91,90.04,54.79,5.5,2,66.95,C,Medium,2026-01-06T16:37:39.295581
STU0075,Student_75,student75@school.edu,9A,67.29,52.02,52.63,97.91,59.25,4.1,0,65.19,C,Medium,2026-01-03T16:37:39.295581
STU0076,Student_76,student76@school.edu,9A,51.25,55.32,82.95,73.78,80.6,1.6,4,62.86,C,Medium,2025-10-22T16:37:39.295581
STU0077,Student_77,student77@school.edu,12B,47.29,98.12,72.62,46.75,44.5,4.4,4,57.82,D,Medium,2026-03-20T16:37:39.295581
STU0078,Student_78,student78@school.edu,12B,96.82,75.34,40.78,95.29,52.51,5.6,3,77.41,B,Low,2026-02-15T16:37:39.295581
STU0079,Student_79,student79@school.edu,12B,73.08,56.85,94.53,65.58,87.76,6.9,2,76.44,B,Low,2026-01-02T16:37:39.295581
STU0080,Student_80,student80@school.edu,11B,96.05,65.54,87.44,49.8,52.91,4.7,5,65.37,C,Medium,2025-12-02T16:37:39.295581
STU0081,Student_81,student81@school.edu,12B,60.71,68.63,68.04,61.87,54.31,1.5,5,56.52,D,Medium,2026-01-03T16:37:39.295581
STU0082,Student_82,student82@school.edu,9A,59.09,63.11,93.94,56.69,94.3,6.3,5,78.38,B,Low,2026-04-09T16:37:39.295581
STU0083,Student_83,student83@school.edu,10A,70.14,71.31,90.88,91.19,61.42,4.2,3,70.14,B,Low,2025-11-02T16:37:39.295581
STU0084,Student_84,student84@school.edu,10A,44.49,84.71,48.55,73.63,58.85,0.6,2,61.99,C,Medium,2025-12-03T16:37:39.295581
STU0085,Student_85,student85@school.edu,12A,97.25,73.88,92.12,64.16,67.46,4.9,1,75.41,B,Low,2026-02-04T16:37:39.295581
STU0086,Student_86,student86@school.edu,10B,84.81,60.38,36.89,74.36,87.35,3.5,5,66.75,C,Medium,2026-01-25T16:37:39.295581
STU0087,Student_87,student87@school.edu,9A,57.6,56.24,40.19,67.18,68.96,6.3,1,54.93,D,Medium,2025-11-13T16:37:39.295581
STU0088,Student_88,student88@school.edu,12A,77.18,46.86,93.9,40.02,62.67,2.0,2,58.24,D,Medium,2025-12-20T16:37:39.295581
STU0089,Student_89,student89@school.edu,11A,80.66,41.06,60.92,54.19,70.25,5.1,3,62.24,C,Medium,2026-01-31T16:37:39.295581
STU0090,Student_90,student90@school.edu,10B,99.96,89.73,37.47,56.7,56.54,2.4,5,64.28,C,Medium,2025-11-01T16:37:39.295581
STU0091,Student_91,student91@school.edu,12A,56.47,69.62,78.01,82.13,37.94,4.9,3,67.58,C,Medium,2026-02-19T16:37:39.295581
STU0092,Student_92,student92@school.edu,11B,53.14,43.31,47.54,82.89,81.05,5.4,1,63.63,C,Medium,2025-11-09T16:37:39.295581
STU0093,Student_93,student93@school.edu,9A,58.54,60.86,70.57,81.27,40.41,2.4,5,58.32,D,Medium,2025-12-01T16:37:39.295581
STU0094,Student_94,student94@school.edu,11B,71.85,93.94,88.13,47.99,84.48,3.9,2,75.34,B,Low,2026-01-22T16:37:39.295581
STU0095,Student_95,student95@school.edu,9B,68.1,35.27,82.79,45.79,75.58,5.4,3,65.16,C,Medium,2026-01-15T16:37:39.295581
STU0096,Student_96,student96@school.edu,9B,87.44,30.97,67.56,61.84,75.37,5.4,4,63.0,C,Medium,2026-01-13T16:37:39.295581
STU0097,Student_97,student97@school.edu,9B,80.49,63.0,73.37,96.02,54.68,4.9,5,69.37,C,Medium,2025-10-21T16:37:39.295581
STU0098,Student_98,student98@school.edu,11A,78.95,38.17,33.17,32.6,94.76,0.9,1,55.38,D,Medium,2026-03-15T16:37:39.295581
STU0099,Student_99,student99@school.edu,12A,67.22,76.93,82.02,96.22,60.15,5.9,1,78.86,B,Low,2025-11-02T16:37:39.295581
STU0100,Student_100,student100@school.edu,9B,90.02,73.1,95.73,49.58,76.42,1.7,3,77.1,B,Low,2026-03-24T16:37:39.295581
STU0101,Student_101,student101@school.edu,11B,72.67,98.45,55.11,57.87,46.39,1.0,3,57.43,D,Medium,2025-11-06T16:37:39.295581
STU0102,Student_102,student102@school.edu,9A,43.03,53.35,99.22,85.09,47.31,6.6,4,61.79,C,Medium,2026-02-18T16:37:39.295581
STU0103,Student_103,student103@school.edu,11B,86.46,85.21,71.72,49.41,94.04,7.9,4,75.2,B,Low,2025-10-31T16:37:39.295581
STU0104,Student_104,student104@school.edu,9A,47.91,55.08,85.19,71.22,35.95,2.1,1,55.64,D,Medium,2025-12-05T16:37:39.295581
STU0105,Student_105,student105@school.edu,9B,84.74,63.34,84.46,65.93,41.54,4.0,4,60.16,C,Medium,2025-11-01T16:37:39.295581
STU0106,Student_106,student106@school.edu,11A,67.48,97.48,34.26,63.53,59.1,5.5,3,67.32,C,Medium,2026-03-29T16:37:39.295581
STU0107,Student_107,student107@school.edu,11B,76.5,34.6,49.25,74.32,67.9,2.6,4,59.78,D,Medium,2025-11-15T16:37:39.295581
STU0108,Student_108,student108@school.edu,12A,45.95,79.12,89.7,75.56,81.14,5.8,1,72.37,B,Low,2026-02-19T16:37:39.295581
STU0109,Student_109,student109@school.edu,12A,60.34,61.74,59.12,36.66,60.61,5.3,2,56.77,D,Medium,2025-10-25T16:37:39.295581
STU0110,Student_110,student110@school.edu,12B,44.03,88.22,36.53,36.76,79.33,6.5,4,55.39,D,Medium,2025-11-26T16:37:39.295581
STU0111,Student_111,student111@school.edu,11B,80.2,58.76,91.15,95.88,60.38,7.3,0,79.24,B,Low,2026-01-18T16:37:39.295581
STU0112,Student_112,student112@school.edu,9B,74.68,44.89,75.97,45.7,41.49,6.8,2,48.35,F,High,2026-02-06T16:37:39.295581
STU0113,Student_113,student113@school.edu,10B,88.43,89.16,98.22,87.29,71.81,5.1,0,83.37,A,Low,2025-10-23T16:37:39.295581
STU0114,Student_114,student114@school.edu,11A,41.74,49.13,83.37,94.51,56.06,1.5,1,61.86,C,Medium,2026-01-06T16:37:39.295581
STU0115,Student_115,student115@school.edu,9B,48.51,74.32,32.15,82.23,47.91,3.4,2,52.34,D,Medium,2026-01-29T16:37:39.295581
STU0116,Student_116,student116@school.edu,11B,86.61,69.73,35.95,33.68,44.44,4.9,5,47.4,F,High,2025-12-31T16:37:39.295581
STU0117,Student_117,student117@school.edu,12B,76.42,58.99,45.09,65.86,55.71,0.9,5,59.34,D,Medium,2025-10-30T16:37:39.295581
STU0118,Student_118,student118@school.edu,11A,42.73,57.67,71.95,30.54,53.09,1.7,1,47.39,F,High,2026-02-03T16:37:39.295581
STU0119,Student_119,student119@school.edu,11B,47.2,64.82,60.15,39.04,66.95,1.8,4,56.75,D,Medium,2026-03-31T16:37:39.295581
STU0120,Student_120,student120@school.edu,12A,91.71,32.96,31.31,94.48,86.73,4.6,4,69.41,C,Medium,2026-02-03T16:37:39.295581
STU0121,Student_121,student121@school.edu,9B,64.3,97.63,42.03,96.33,62.61,5.5,2,68.93,C,Medium,2026-03-22T16:37:39.295581
STU0122,Student_122,student122@school.edu,10B,66.14,58.03,35.51,90.94,79.75,1.8,1,60.85,C,Medium,2025-11-07T16:37:39.295581
STU0123,Student_123,student123@school.edu,9B,71.84,43.57,84.34,54.58,92.49,5.2,1,64.05,C,Medium,2026-03-12T16:37:39.295581
STU0124,Student_124,student124@school.edu,11A,51.84,72.17,83.22,75.89,45.63,6.2,3,64.91,C,Medium,2025-11-21T16:37:39.295581
STU0125,Student_125,student125@school.edu,12B,80.87,91.74,75.01,99.06,54.39,7.8,2,76.16,B,Low,2026-04-01T16:37:39.295581
STU0126,Student_126,student126@school.edu,12B,66.53,51.2,49.23,33.93,65.44,2.5,3,45.56,F,High,2026-02-04T16:37:39.296582
STU0127,Student_127,student127@school.edu,9B,78.68,98.42,36.32,71.59,58.07,4.6,5,72.73,B,Low,2025-11-23T16:37:39.296582
STU0128,Student_128,student128@school.edu,10B,59.29,63.29,40.56,34.33,41.21,7.2,2,50.17,D,Medium,2026-03-28T16:37:39.296582
STU0129,Student_129,student129@school.edu,10A,42.35,79.53,99.37,66.68,71.59,2.9,2,66.46,C,Medium,2026-01-22T16:37:39.296582
STU0130,Student_130,student130@school.edu,9A,87.35,75.31,34.61,36.62,75.7,2.3,5,64.11,C,Medium,2025-11-15T16:37:39.296582
STU0131,Student_131,student131@school.edu,10A,60.0,70.79,39.9,54.49,93.06,5.6,3,62.57,C,Medium,2026-03-28T16:37:39.296582
STU0132,Student_132,student132@school.edu,11A,73.54,75.04,52.99,38.95,77.17,7.6,5,67.64,C,Medium,2025-10-29T16:37:39.296582
STU0133,Student_133,student133@school.edu,12A,70.51,31.28,51.62,96.58,55.5,6.1,1,58.18,D,Medium,2026-03-14T16:37:39.296582
STU0134,Student_134,student134@school.edu,10A,44.63,89.11,37.08,83.96,85.11,7.1,0,70.73,B,Low,2025-11-11T16:37:39.296582
STU0135,Student_135,student135@school.edu,10A,75.83,40.8,42.66,78.5,72.48,7.2,5,63.97,C,Medium,2025-10-27T16:37:39.296582
STU0136,Student_136,student136@school.edu,10B,98.18,72.74,82.67,84.87,49.04,1.9,3,76.74,B,Low,2025-10-27T16:37:39.296582
STU0137,Student_137,student137@school.edu,12B,67.7,49.72,56.73,66.92,92.98,6.5,4,64.99,C,Medium,2025-11-05T16:37:39.296582
STU0138,Student_138,student138@school.edu,12B,92.45,68.82,37.18,89.21,86.07,2.3,1,71.07,B,Low,2025-12-08T16:37:39.296582
STU0139,Student_139,student139@school.edu,10A,89.86,36.42,93.74,87.17,88.08,7.4,3,75.63,B,Low,2026-02-17T16:37:39.296582
STU0140,Student_140,student140@school.edu,12A,99.67,56.24,31.97,95.16,85.35,5.2,1,70.74,B,Low,2026-02-04T16:37:39.296582
STU0141,Student_141,student141@school.edu,12B,81.76,39.72,79.39,61.4,35.32,0.6,2,48.52,F,High,2026-03-11T16:37:39.296582
STU0142,Student_142,student142@school.edu,12A,46.67,50.17,51.08,33.34,60.19,6.4,3,44.49,F,High,2025-12-12T16:37:39.296582
STU0143,Student_143,student143@school.edu,9A,77.92,70.25,80.3,50.39,35.09,2.8,4,57.03,D,Medium,2026-03-28T16:37:39.296582
STU0144,Student_144,student144@school.edu,11B,44.06,66.82,65.51,99.18,68.25,3.1,3,64.87,C,Medium,2026-01-13T16:37:39.296582
STU0145,Student_145,student145@school.edu,11A,84.84,55.0,34.73,46.88,74.43,0.8,4,58.53,D,Medium,2026-04-07T16:37:39.296582
STU0146,Student_146,student146@school.edu,11B,72.76,86.95,42.26,84.54,62.88,5.6,5,67.64,C,Medium,2025-12-22T16:37:39.296582
STU0147,Student_147,student147@school.edu,9A,57.61,33.07,43.96,32.93,91.0,4.1,4,50.5,D,Medium,2025-11-04T16:37:39.296582
STU0148,Student_148,student148@school.edu,10B,57.17,90.35,33.35,75.9,51.39,6.4,3,68.14,C,Medium,2026-01-10T16:37:39.296582
STU0149,Student_149,student149@school.edu,11B,98.42,64.73,64.83,94.7,66.16,6.4,5,77.73,B,Low,2026-03-03T16:37:39.296582
STU0150,Student_150,student150@school.edu,11A,59.27,35.6,76.26,51.45,71.16,3.4,5,55.88,D,Medium,2026-01-18T16:37:39.296582
STU0151,Student_151,student151@school.edu,12A,56.47,98.6,96.35,35.25,73.25,2.9,5,70.55,B,Low,2026-03-13T16:37:39.296582
STU0152,Student_152,student152@school.edu,12B,42.09,34.71,84.5,55.64,57.97,4.5,4,49.61,F,High,2026-01-14T16:37:39.296582
STU0153,Student_153,student153@school.edu,11B,66.64,35.38,39.64,55.69,53.86,2.2,0,41.11,F,High,2025-12-07T16:37:39.296582
STU0154,Student_154,student154@school.edu,12A,94.81,38.24,84.25,79.28,47.87,4.9,5,70.42,B,Low,2026-03-18T16:37:39.296582
STU0155,Student_155,student155@school.edu,10A,91.17,61.64,92.91,61.16,40.27,5.5,2,65.27,C,Medium,2026-04-02T16:37:39.296582
STU0156,Student_156,student156@school.edu,11A,93.48,89.6,79.83,94.91,73.26,6.3,4,85.0,A,Low,2026-03-14T16:37:39.296582
STU0157,Student_157,student157@school.edu,10B,87.42,31.84,68.78,55.82,83.22,4.4,4,67.07,C,Medium,2026-01-07T16:37:39.296582
STU0158,Student_158,student158@school.edu,12B,71.54,83.84,87.63,35.16,93.34,5.1,3,72.17,B,Low,2026-03-17T16:37:39.296582
STU0159,Student_159,student159@school.edu,10A,86.07,39.03,65.2,90.77,84.88,4.1,2,68.39,C,Medium,2026-01-26T16:37:39.296582
STU0160,Student_160,student160@school.edu,10B,60.76,95.86,92.64,89.22,50.04,5.1,4,74.53,B,Low,2025-11-12T16:37:39.296582
STU0161,Student_161,student161@school.edu,9B,70.15,41.8,95.91,40.79,74.52,5.8,4,61.45,C,Medium,2026-04-08T16:37:39.296582
STU0162,Student_162,student162@school.edu,9A,44.87,96.4,83.97,48.53,47.65,4.6,4,62.99,C,Medium,2025-11-09T16:37:39.296582
STU0163,Student_163,student163@school.edu,11A,78.51,51.15,47.14,86.51,59.37,3.6,5,59.92,D,Medium,2025-12-16T16:37:39.296582
STU0164,Student_164,student164@school.edu,12B,52.24,72.47,51.88,80.29,79.05,6.9,3,66.51,C,Medium,2025-11-26T16:37:39.296582
STU0165,Student_165,student165@school.edu,9B,59.15,62.65,48.72,47.35,40.81,2.3,3,51.99,D,Medium,2026-03-09T16:37:39.296582
STU0166,Student_166,student166@school.edu,11B,96.03,80.48,43.29,41.15,94.76,3.7,2,68.19,C,Medium,2026-03-26T16:37:39.296582
STU0167,Student_167,student167@school.edu,12A,70.33,97.67,45.06,54.7,38.03,4.0,5,60.33,C,Medium,2026-04-16T16:37:39.296582
STU0168,Student_168,student168@school.edu,9B,65.86,91.77,80.93,83.47,56.96,3.2,4,74.25,B,Low,2026-02-04T16:37:39.296582
STU0169,Student_169,student169@school.edu,9B,63.18,61.52,68.49,87.77,72.39,4.9,1,74.29,B,Low,2026-01-08T16:37:39.296582
STU0170,Student_170,student170@school.edu,11B,87.69,53.74,95.73,82.85,46.94,4.1,4,64.55,C,Medium,2026-01-23T16:37:39.296582
STU0171,Student_171,student171@school.edu,12B,71.16,40.43,92.52,39.78,90.88,2.5,3,68.77,C,Medium,2026-02-01T16:37:39.296582
STU0172,Student_172,student172@school.edu,11B,70.44,65.68,64.29,69.4,63.49,0.1,2,62.88,C,Medium,2026-01-02T16:37:39.296582
STU0173,Student_173,student173@school.edu,11A,87.81,80.77,78.16,31.87,63.48,7.7,4,67.72,C,Medium,2025-11-20T16:37:39.296582
STU0174,Student_174,student174@school.edu,12B,50.23,74.03,73.38,88.88,43.87,5.4,0,63.41,C,Medium,2026-03-01T16:37:39.296582
STU0175,Student_175,student175@school.edu,9A,66.46,59.31,58.91,44.27,65.11,4.9,3,61.72,C,Medium,2026-04-03T16:37:39.297558
STU0176,Student_176,student176@school.edu,10A,71.12,69.26,99.87,63.49,57.61,7.7,3,74.91,B,Low,2026-01-18T16:37:39.297558
STU0177,Student_177,student177@school.edu,11A,76.6,43.46,47.26,69.07,48.49,7.8,2,58.86,D,Medium,2025-10-20T16:37:39.297558
STU0178,Student_178,student178@school.edu,10B,81.41,64.23,63.59,69.23,91.07,5.8,2,69.2,C,Medium,2025-10-27T16:37:39.297558
STU0179,Student_179,student179@school.edu,12A,93.75,57.62,54.16,84.11,43.79,0.3,5,59.41,D,Medium,2025-11-02T16:37:39.297558
STU0180,Student_180,student180@school.edu,11A,84.84,44.98,87.96,48.98,68.72,2.2,0,60.45,C,Medium,2026-02-15T16:37:39.297558
STU0181,Student_181,student181@school.edu,9A,80.19,67.17,74.66,33.67,59.8,5.7,0,59.8,D,Medium,2025-11-29T16:37:39.297558
STU0182,Student_182,student182@school.edu,10A,64.41,95.45,91.49,63.42,46.97,7.7,2,67.15,C,Medium,2026-04-03T16:37:39.297558
STU0183,Student_183,student183@school.edu,9B,79.14,46.26,81.71,89.52,37.24,7.4,3,69.52,C,Medium,2026-04-09T16:37:39.297558
STU0184,Student_184,student184@school.edu,12A,87.28,43.04,82.43,91.06,52.37,0.3,2,65.58,C,Medium,2026-03-22T16:37:39.297558
STU0185,Student_185,student185@school.edu,11B,57.07,99.24,68.03,64.57,91.31,6.8,3,76.46,B,Low,2026-01-24T16:37:39.297558
STU0186,Student_186,student186@school.edu,10A,83.87,75.38,80.3,30.99,55.23,2.4,5,61.41,C,Medium,2025-11-06T16:37:39.297558
STU0187,Student_187,student187@school.edu,12A,89.62,66.07,36.07,76.85,46.09,1.1,2,62.68,C,Medium,2026-04-17T16:37:39.297558
STU0188,Student_188,student188@school.edu,11A,63.01,61.27,48.69,53.07,69.95,4.6,2,58.56,D,Medium,2025-10-23T16:37:39.297558
STU0189,Student_189,student189@school.edu,10B,43.73,38.28,51.48,58.38,65.15,7.2,5,56.46,D,Medium,2025-11-06T16:37:39.297558
STU0190,Student_190,student190@school.edu,11A,62.05,45.46,97.02,63.47,62.3,7.9,2,62.86,C,Medium,2025-11-29T16:37:39.297558
